;This file was generated by make_test_image.py
;Identifier is the unique number written into each sector half
;All numbers in hexadecimal

;PET Track, PET Sector, PET Sector Half (0 or 1), Identifier
11,04,0,02A8
11,04,1,02A9
11,05,0,02AA
11,05,1,02AB
11,06,0,02AC
11,06,1,02AD
11,07,0,02AE
11,07,1,02AF
11,08,0,02B0
11,08,1,02B1
11,09,0,02B2
11,09,1,02B3
11,0A,0,02B4
11,0A,1,02B5
11,0B,0,02B6
11,0B,1,02B7
11,0C,0,02B8
11,0C,1,02B9
11,0D,0,02BA
11,0D,1,02BB
11,0E,0,02BC
11,0E,1,02BD
11,0F,0,02BE
11,0F,1,02BF
11,10,0,02C0
11,10,1,02C1
11,11,0,02C2
11,11,1,02C3
11,12,0,02C4
11,12,1,02C5
11,13,0,02C6
11,13,1,02C7
11,14,0,02C8
11,14,1,02C9
12,00,0,02CA
12,00,1,02CB
12,01,0,02CC
12,01,1,02CD
12,02,0,02CE
12,02,1,02CF
12,03,0,02D0
12,03,1,02D1
12,04,0,02D2
12,04,1,02D3
12,05,0,02D4
12,05,1,02D5
12,06,0,02D6
12,06,1,02D7
12,07,0,02D8
12,07,1,02D9
12,08,0,02DA
12,08,1,02DB
12,09,0,02DC
12,09,1,02DD
12,0A,0,02DE
12,0A,1,02DF
12,0B,0,02E0
12,0B,1,02E1
12,0C,0,02E2
12,0C,1,02E3
12,0D,0,02E4
12,0D,1,02E5
12,0E,0,02E6
12,0E,1,02E7
12,0F,0,02E8
12,0F,1,02E9
12,10,0,02EA
12,10,1,02EB
12,11,0,02EC
12,11,1,02ED
12,12,0,02EE
12,12,1,02EF
13,00,0,02F0
13,00,1,02F1
13,01,0,02F2
13,01,1,02F3
13,02,0,02F4
13,02,1,02F5
13,03,0,02F6
13,03,1,02F7
13,04,0,02F8
13,04,1,02F9
13,05,0,02FA
13,05,1,02FB
13,06,0,02FC
13,06,1,02FD
13,07,0,02FE
13,07,1,02FF
13,08,0,0300
13,08,1,0301
13,09,0,0302
13,09,1,0303
13,0A,0,0304
13,0A,1,0305
13,0B,0,0306
13,0B,1,0307
13,0C,0,0308
13,0C,1,0309
13,0D,0,030A
13,0D,1,030B
13,0E,0,030C
13,0E,1,030D
13,0F,0,030E
13,0F,1,030F
13,10,0,0310
13,10,1,0311
13,11,0,0312
13,11,1,0313
13,12,0,0314
13,12,1,0315
14,00,0,0316
14,00,1,0317
14,01,0,0318
14,01,1,0319
14,02,0,031A
14,02,1,031B
14,03,0,031C
14,03,1,031D
14,04,0,031E
14,04,1,031F
14,05,0,0320
14,05,1,0321
14,06,0,0322
14,06,1,0323
14,07,0,0324
14,07,1,0325
14,08,0,0326
14,08,1,0327
14,09,0,0328
14,09,1,0329
14,0A,0,032A
14,0A,1,032B
14,0B,0,032C
14,0B,1,032D
14,0C,0,032E
14,0C,1,032F
