31,7,18,10
31,8,18,11
31,9,18,12
31,10,18,13
31,11,18,14
31,12,18,15
31,13,18,16
31,14,18,17
31,15,18,18
31,16,18,19
31,17,18,20
31,18,18,21
31,19,18,22
31,20,18,23
31,21,18,24
31,22,18,25
31,23,18,26
31,24,18,27
31,25,18,28
31,26,19,0
31,27,19,1
31,28,19,2
31,29,19,3
31,30,19,4
31,31,19,5
32,0,18,19
32,1,18,20
32,2,18,21
32,3,18,22
32,4,18,23
32,5,18,24
32,6,18,25
32,7,18,26
32,8,18,27
32,9,18,28
32,10,19,0
32,11,19,1
32,12,19,2
32,13,19,3
32,14,19,4
32,15,19,5
32,16,19,6
32,17,19,7
32,18,19,8
32,19,19,9
32,20,19,10
32,21,19,11
32,22,19,12
32,23,19,13
32,24,19,14
32,25,19,15
32,26,19,16
32,27,19,17
32,28,19,18
32,29,19,19
32,30,19,20
32,31,19,21
33,0,19,6
33,1,19,7
33,2,19,8
33,3,19,9
33,4,19,10
33,5,19,11
33,6,19,12
33,7,19,13
33,8,19,14
33,9,19,15
33,10,19,16
33,11,19,17
33,12,19,18
33,13,19,19
33,14,19,20
33,15,19,21
33,16,19,22
33,17,19,23
33,18,19,24
33,19,19,25
33,20,19,26
33,21,19,27
33,22,19,28
33,23,20,0
33,24,20,1
33,25,20,2
33,26,20,3
33,27,20,4
33,28,20,5
33,29,20,6
33,30,20,7
33,31,20,8
34,0,19,22
34,1,19,23
34,2,19,24
34,3,19,25
34,4,19,26
34,5,19,27
34,6,19,28
34,7,20,0
34,8,20,1
34,9,20,2
34,10,20,3
34,11,20,4
34,12,20,5
34,13,20,6
34,14,20,7
34,15,20,8
34,16,20,9
34,17,20,10
34,18,20,11
34,19,20,12
34,20,20,13
34,21,20,14
34,22,20,15
34,23,20,16
34,24,20,17
34,25,20,18
34,26,20,19
34,27,20,20
34,28,20,21
34,29,20,22
34,30,20,23
34,31,20,24
35,0,20,9
35,1,20,10
35,2,20,11
35,3,20,12
35,4,20,13
35,5,20,14
35,6,20,15
35,7,20,16
35,8,20,17
35,9,20,18
35,10,20,19
35,11,20,20
35,12,20,21
35,13,20,22
35,14,20,23
35,15,20,24
35,16,20,25
35,17,20,26
35,18,20,27
35,19,20,28
35,20,21,0
35,21,21,1
35,22,21,2
35,23,21,3
35,24,21,4
35,25,21,5
35,26,21,6
35,27,21,7
35,28,21,8
35,29,21,9
35,30,21,10
35,31,21,11
36,0,20,25
36,1,20,26
36,2,20,27
36,3,20,28
36,4,21,0
36,5,21,1
36,6,21,2
36,7,21,3
36,8,21,4
36,9,21,5
36,10,21,6
36,11,21,7
36,12,21,8
36,13,21,9
36,14,21,10
36,15,21,11
36,16,21,12
36,17,21,13
36,18,21,14
36,19,21,15
36,20,21,16
36,21,21,17
36,22,21,18
36,23,21,19
36,24,21,20
36,25,21,21
36,26,21,22
36,27,21,23
36,28,21,24
36,29,21,25
36,30,21,26
36,31,21,27
